Name,Year,x,n,dying_prob,LEx,dying_prob_annual
Upper-middle-income countries,2025,30,5,0.0056346,49.2299,0.00112692
Upper-middle-income countries,2025,35,5,0.0069588,44.4944,0.0013917600000000001
Upper-middle-income countries,2025,40,5,0.01021658,39.7878,0.002043316
Upper-middle-income countries,2025,45,5,0.01453887,35.1712,0.002907774
Upper-middle-income countries,2025,50,5,0.02173678,30.6512,0.004347356
Upper-middle-income countries,2025,55,5,0.03145668,26.2735,0.006291336
Upper-middle-income countries,2025,60,5,0.05244566,22.0404,0.010489132
Upper-middle-income countries,2025,65,5,0.08036849,18.1103,0.016073698
Upper-middle-income countries,2025,70,5,0.12508034,14.4649,0.025016068000000002
Upper-middle-income countries,2025,75,5,0.1969313,11.1564,0.03938626
Upper-middle-income countries,2025,80,5,0.32209677,8.2494,0.064419354
Upper-middle-income countries,2025,85,5,0.48431623,5.943,0.096863246
Upper-middle-income countries,2025,90,5,0.66097846,4.2401,0.132195692
Upper-middle-income countries,2025,95,5,0.80934219,3.0698,0.161868438
Upper-middle-income countries,2025,100,-1,1,2.5825,-1
Lower-middle-income countries,2025,0,1,0.03071839,70.081,0.03071839
Lower-middle-income countries,2025,1,4,0.01082183,71.2968,0.0027054575
Lower-middle-income countries,2025,5,5,0.00623564,68.0584,0.001247128
Lower-middle-income countries,2025,10,5,0.00390413,63.4717,7.80826e-4
Lower-middle-income countries,2025,15,5,0.00573394,58.7106,0.001146788
Lower-middle-income countries,2025,20,5,0.00751327,54.0337,0.001502654
Lower-middle-income countries,2025,25,5,0.00845911,49.4234,0.0016918220000000002
Lower-middle-income countries,2025,30,5,0.00996645,44.8234,0.00199329
Lower-middle-income countries,2025,35,5,0.01278786,40.2486,0.002557572
Lower-middle-income countries,2025,40,5,0.01708438,35.7362,0.003416876
Lower-middle-income countries,2025,45,5,0.02391667,31.312,0.004783334
Lower-middle-income countries,2025,50,5,0.03647525,27.0144,0.00729505
Lower-middle-income countries,2025,55,5,0.05459943,22.9363,0.010919886
Lower-middle-income countries,2025,60,5,0.08073876,19.1088,0.016147752
